STNAM,FIPST,leaid11,leanm11,ALL_COHORT_1112,ALL_RATE_1112,MAM_COHORT_1112,MAM_RATE_1112,MAS_COHORT_1112,MAS_RATE_1112,MBL_COHORT_1112,MBL_RATE_1112,MHI_COHORT_1112,MHI_RATE_1112,MTR_COHORT_1112,MTR_RATE_1112,MWH_COHORT_1112,MWH_RATE_1112,CWD_COHORT_1112,CWD_RATE_1112,ECD_COHORT_1112,ECD_RATE_1112,LEP_COHORT_1112,LEP_RATE_1112
ALABAMA,01,0100005,Albertville City,268,83,,,,,6,GE50,49,60-69,,,213,85-89,18,60-79,107,70-74,9,LT50
ALABAMA,01,0100006,Marshall County,424,79,2,PS,1,PS,4,PS,26,60-79,,,391,79,66,70-74,250,70-74,9,LT50
ALABAMA,01,0100007,Hoover City,1042,91,1,PS,71,85-89,224,85-89,52,60-69,5,PS,688,94,63,70-74,216,75-79,21,21-39
ALABAMA,01,0100008,Madison City,836,91,4,PS,44,GE90,195,85-89,23,60-79,2,PS,566,93,72,60-64,163,80-84,7,GE50
ALABAMA,01,0100011,Leeds City,117,70-74,,,,,44,60-69,11,GE50,,,62,75-79,18,60-79,83,65-69,3,PS
ALABAMA,01,0100012,Boaz City,155,90-94,,,3,PS,2,PS,15,GE50,1,PS,133,90-94,14,GE50,68,85-89,1,PS
ALABAMA,01,0100013,Trussville City,300,93,1,PS,2,PS,33,GE90,3,PS,,,261,90-94,20,40-59,45,80-89,4,PS
ALABAMA,01,0100030,Alexander City,289,78,1,PS,4,PS,112,70-74,6,LT50,,,166,80-84,43,60-69,139,70-74,2,PS
ALABAMA,01,0100060,Andalusia City,109,75-79,,,1,PS,46,60-69,,,,,61,80-84,3,PS,52,60-69,1,PS
ALABAMA,01,0100090,Anniston City,207,65,,,,,202,65-69,1,PS,,,4,PS,25,40-59,181,65-69,,
ALABAMA,01,0100100,Arab City,190,90-94,2,PS,3,PS,2,PS,,,,,182,90-94,15,GE50,50,80-89,3,PS
ALABAMA,01,0100120,Athens City,225,87,2,PS,,,64,80-84,16,GE80,,,143,90-94,15,GE50,79,75-79,1,PS
ALABAMA,01,0100180,Attalla City,224,63,,,,,25,60-79,7,GE50,,,192,60-64,40,50-59,148,55-59,4,PS
ALABAMA,01,0100185,Saraland City,164,75-79,,,,,36,70-79,,,,,127,75-79,19,40-59,84,75-79,1,PS
ALABAMA,01,0100210,Auburn City,489,88,1,PS,42,GE90,141,80-84,5,PS,,,299,90-94,29,40-59,110,75-79,10,GE50
ALABAMA,01,0100240,Autauga County,768,81,3,PS,11,GE50,230,75-79,9,GE50,1,PS,514,82,63,60-64,306,72,8,GE50
ALABAMA,01,0100270,Baldwin County,2321,74,25,GE80,21,60-79,382,64,72,60-64,4,PS,1815,77,285,45-49,859,59,37,20-29
ALABAMA,01,0100300,Barbour County,81,60-64,,,,,74,65-69,,,,,6,LT50,8,GE50,81,60-64,1,PS
ALABAMA,01,0100330,Bessemer City,404,40,,,,,383,41,14,LT50,,,6,LT50,60,20-29,315,38,9,LT50
ALABAMA,01,0100360,Bibb County,268,80,1,PS,,,67,75-79,4,PS,1,PS,195,80-84,28,60-79,171,75-79,,
ALABAMA,01,0100390,Birmingham City,2417,56,1,PS,3,PS,2352,57,40,20-29,2,PS,18,LE20,323,37,1989,56,25,LE20
ALABAMA,01,0100420,Blount County,630,83,,,1,PS,5,PS,63,75-79,1,PS,560,84,58,50-59,301,75,8,LT50
ALABAMA,01,0100450,Brewton City,95,85-89,2,PS,2,PS,40,70-79,1,PS,,,50,GE90,3,PS,26,60-79,1,PS
ALABAMA,01,0100480,Bullock County,170,70-74,,,,,166,70-74,4,PS,,,,,28,60-79,157,65-69,1,PS
ALABAMA,01,0100510,Butler County,307,66,,,2,PS,192,65-69,2,PS,,,111,60-64,36,50-59,213,65-69,3,PS
ALABAMA,01,0100540,Calhoun County,704,81,2,PS,,,118,75-79,9,GE50,2,PS,573,82,67,60-64,355,74,,
ALABAMA,01,0100600,Chambers County,303,76,,,,,171,80-84,,,,,132,70-74,38,30-39,205,70-74,,
ALABAMA,01,0100630,Cherokee County,305,74,10,GE50,,,16,GE80,,,,,278,70-74,28,40-59,171,65-69,,
ALABAMA,01,0100660,Chilton County,568,76,,,6,GE50,86,60-64,26,60-79,1,PS,448,78,68,55-59,307,68,8,LT50
ALABAMA,01,0100690,Choctaw County,133,75-79,,,,,95,75-79,,,,,38,70-79,11,GE50,84,75-79,,
ALABAMA,01,0100720,Clarke County,293,67,1,PS,,,200,65-69,,,,,91,65-69,32,11-19,207,60-64,,
ALABAMA,01,0100750,Clay County,171,75-79,,,1,PS,48,70-79,3,PS,,,119,80-84,30,60-79,94,70-74,1,PS
ALABAMA,01,0100780,Cleburne County,208,89,,,,,12,GE50,7,GE50,,,189,90-94,17,40-59,110,85-89,1,PS
ALABAMA,01,0100810,Coffee County,161,90-94,4,PS,1,PS,11,GE50,1,PS,,,144,90-94,19,GE80,74,90-94,,
ALABAMA,01,0100840,Colbert County,267,63,3,PS,1,PS,41,60-69,3,PS,1,PS,218,60-64,29,40-59,155,55-59,1,PS
