GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|SCHENROLL|SCHENROLL_F|SCHSDTOTREV|SCHSDTOTREV_F|SCHREVFS|SCHREVFS_F|SCHREVFSDSTIT|SCHREVFSDSTIT_F|SCHREVFSDSSE|SCHREVFSDSSE_F|SCHREVFSDSCN|SCHREVFSDSCN_F|SCHSDREVFSDSON|SCHSDREVFSDSON_F|SCHREVSS|SCHREVSS_F|SCHREVSSGFA|SCHREVSSGFA_F|SCHREVSSSE|SCHREVSSSE_F|SCHREVSSTP|SCHREVSSTP_F|SCHSDREVSSON|SCHSDREVSSON_F|SCHSDREVLS|SCHSDREVLS_F|SCHREVLSTT|SCHREVLSTT_F|SCHREVLSPT|SCHREVLSPT_F|SCHREVLSPGC|SCHREVLSPGC_F|SCHREVLSCC|SCHREVLSCC_F|SCHREVLSOS|SCHREVLSOS_F|SCHSDREVLSOC|SCHSDREVLSOC_F|SCHREVLSOLR|SCHREVLSOLR_F
37|04|9500000US0400004|Clarkdale-Jerome Elementary District, Arizona||2013|455||3970||509||56||70||133||250||1147||1129||0||0||18||2314||1454||1454||0||370||0||132||358|
37|04|9500000US0400005|Salome Consolidated Elementary District, Arizona||2013|99||1256||155||71||0||67||17||133||129||0||0||4||968||938||938||0||8||0||1||21|
37|04|9500000US0400022|Vernon Elementary District, Arizona||2013|170||2278||357||87||21||0||249||1098||814||0||0||284||823||719||719||0||78||0||7||19|
37|04|9500000US0400480|Aguila Elementary District, Arizona||2013|216||2148||387||147||0||117||123||829||715||0||0||114||932||413||413||0||64||0||6||449|
37|04|9500000US0400600|Alhambra Elementary District, Arizona||2013|14313||104947||20386||6315||2669||8329||3073||54037||53232||0||0||805||30524||20046||20046||0||7466||0||695||2317|
37|04|9500000US0400630|Alpine Elementary District, Arizona||2013|69||1012||222||0||9||0||213||338||323||0||0||15||452||410||410||0||14||0||8||20|
37|04|9500000US0400750|Apache Elementary District, Arizona||2013|7||218||42||0||0||0||42||54||54||0||0||0||122||102||102||0||3||0||2||15|
37|04|9500000US0400840|Arlington Elementary District, Arizona||2013|258||2891||496||238||34||154||70||69||59||0||0||10||2326||2260||2260||0||0||0||28||38|
37|04|9500000US0400870|Ash Creek Elementary District, Arizona||2013|18||684||66||54||0||5||7||65||59||0||0||6||553||519||519||0||17||0||2||15|
37|04|9500000US0400960|Avondale Elementary District, Arizona||2013|5625||43946||7207||1577||1124||2642||1864||20134||19844||0||0||290||16605||13751||13751||0||1838||0||473||543|
37|04|9500000US0401050|Balsz Elementary District, Arizona||2013|2681||24580||5687||2047||800||2054||786||7639||7508||0||0||131||11254||9884||9884||0||724||0||114||532|
37|04|9500000US0401080|Beaver Creek Elementary District, Arizona||2013|457||3564||402||95||16||163||128||1298||1244||0||0||54||1864||1356||1356||0||358||0||62||88|
37|04|9500000US0401230|Blue Elementary District, Arizona||2013|8||131||58||0||0||0||58||12||12||0||0||0||61||17||17||0||12||0||2||30|
37|04|9500000US0401260|Bonita Elementary District, Arizona||2013|89||1998||55||0||0||18||37||436||355||0||0||81||1507||1476||1476||0||15||0||12||4|
37|04|9500000US0401290|Bouse Elementary District, Arizona||2013|35||767||36||0||0||28||8||70||29||0||0||41||661||654||654||0||0||0||3||4|
37|04|9500000US0401380|Buckeye Elementary District, Arizona||2013|4569||32062||3534||737||547||1882||368||16141||15929||0||0||212||12387||9852||9852||0||1605||0||439||491|
37|04|9500000US0401500|Bullhead City School District, Arizona||2013|3228||20926||5134||1675||721||1954||784||9319||8901||0||0||418||6473||4156||4156||0||2058||0||143||116|
37|04|9500000US0401650|Canon Elementary District, Arizona||2013|219||2080||234||102||0||70||62||700||693||0||0||7||1146||838||838||0||222||0||3||83|
37|04|9500000US0401680|Cartwright Elementary District, Arizona||2013|18928||132673||28081||8704||4030||11669||3678||72921||71721||0||0||1200||31671||21543||21543||0||8105||0||434||1589|
37|04|9500000US0401710|Casa Grande Elementary District, Arizona||2013|7379||55479||7215||1865||1252||2805||1293||26284||26002||0||0||282||21980||13981||13981||0||1856||0||725||5418|
37|04|9500000US0402130|Cochise Elementary District, Arizona||2013|96||1341||31||0||0||22||9||21||19||0||0||2||1289||1261||1261||0||10||0||12||6|
37|04|9500000US0402190|Concho Elementary District, Arizona||2013|244||3198||285||94||40||103||48||1510||1504||0||0||6||1403||1152||1152||0||113||0||17||121|
37|04|9500000US0402220|Congress Elementary District, Arizona||2013|152||1534||166||31||24||53||58||323||315||0||0||8||1045||895||895||0||89||0||24||37|
37|04|9500000US0402250|Continental Elementary District, Arizona||2013|679||5840||313||11||75||96||131||1011||991||0||0||20||4516||3931||3931||0||0||0||274||311|
37|04|9500000US0402370|Cottonwood-Oak Creek Elementary District, Arizona||2013|2112||15080||2856||815||557||1089||395||4953||4871||0||0||82||7271||5100||5100||0||1551||0||411||209|
37|04|9500000US0402400|Crane Elementary District, Arizona||2013|6249||41224||6669||1995||1035||2581||1058||24415||23955||0||0||460||10140||4762||4762||0||1107||0||283||3988|
37|04|9500000US0402430|Creighton Elementary District, Arizona||2013|6715||56136||15850||5980||2090||5030||2750||20741||20118||0||0||623||19545||16254||16254||0||2133||0||407||751|
37|04|9500000US0402460|Crown King Elementary District, Arizona||2013|3||107||33||0||0||0||33||0||0||0||0||0||74||66||66||0||0||0||0||8|
37|04|9500000US0402490|Double Adobe Elementary District, Arizona||2013|56||426||29||28||0||0||1||208||205||0||0||3||189||158||158||0||28||0||0||3|
37|04|9500000US0402760|Elfrida Elementary District, Arizona||2013|112||1221||138||48||0||66||24||629||625||0||0||4||454||394||394||0||44||0||13||3|
37|04|9500000US0402790|Eloy Elementary District, Arizona||2013|1011||9155||3273||2235||196||713||129||4279||4180||0||0||99||1603||1119||1119||0||327||0||44||113|
37|04|9500000US0403060|Fowler Elementary District, Arizona||2013|4575||38241||5743||1366||580||2889||908||15575||15136||0||0||439||16923||11252||11252||0||2100||0||202||3369|
37|04|9500000US0403240|Gadsden Elementary District, Arizona||2013|5195||36154||11078||4485||764||2828||3001||22501||22055||0||0||446||2575||1179||1179||0||997||0||288||111|
37|04|9500000US0403420|Glendale Elementary District, Arizona||2013|13496||116681||21049||4831||2680||7767||5771||62194||61309||0||0||885||33438||17212||17212||0||5024||0||759||10443|
37|04|9500000US0403660|Hackberry School District, Arizona||2013|65||931||158||36||7||18||97||38||36||0||0||2||735||724||724||0||0||0||2||9|
37|04|9500000US0403900|Hyder Elementary District, Arizona||2013|102||1513||283||155||0||79||49||728||722||0||0||6||502||401||401||0||53||0||10||38|
37|04|9500000US0403960|Isaac Elementary District, Arizona||2013|7101||54607||13782||4380||1721||4160||3521||27565||26811||0||0||754||13260||9807||9807||0||2708||0||178||567|
37|04|9500000US0404170|Kirkland Elementary District, Arizona||2013|104||1040||68||27||0||16||25||287||285||0||0||2||685||481||481||0||114||40||2||48|
37|04|9500000US0404230|Kyrene Elementary District, Arizona||2013|17786||157073||9920||2711||2922||2520||1767||51128||50148||0||0||980||96025||64077||64077||0||4789||0||5581||21578|
37|04|9500000US0404290|Laveen Elementary District, Arizona||2013|5925||43143||4699||863||860||2630||346||23014||20915||0||0||2099||15430||11189||11189||0||2157||32||586||1466|
37|04|9500000US0404320|Liberty Elementary District, Arizona||2013|3249||21702||2172||397||481||987||307||11773||11452||0||0||321||7757||5528||5528||0||1115||0||662||452|
37|04|9500000US0404380|Litchfield Elementary District, Arizona||2013|10421||70959||6016||864||1415||3068||669||36970||36409||0||0||561||27973||19627||19627||0||3468||0||2021||2857|
37|04|9500000US0404440|Littleton Elementary District, Arizona||2013|5309||37137||5955||912||822||3263||958||18684||18251||0||0||433||12498||9353||9353||0||1823||0||486||836|
37|04|9500000US0404500|Madison Elementary District, Arizona||2013|5910||60272||4881||1036||1469||1550||826||10847||10527||0||0||320||44544||32353||32353||0||878||15||1597||9701|
37|04|9500000US0404530|Maine Consolidated School District, Arizona||2013|125||2188||146||19||24||32||71||237||233||0||0||4||1805||1705||1705||0||37||0||23||40|
37|04|9500000US0404770|Altar Valley Elementary District, Arizona||2013|946||8725||1524||562||243||365||354||4555||4328||0||0||227||2646||2023||2023||0||454||0||51||118|
37|04|9500000US0404860|McNary Elementary District, Arizona||2013|167||2006||1140||127||0||83||930||754||750||0||0||4||112||0||0||0||66||0||17||29|
37|04|9500000US0404920|McNeal Elementary District, Arizona||2013|56||858||39||19||0||18||2||441||436||0||0||5||378||343||343||0||21||0||7||7|
37|04|9500000US0405100|Mobile Elementary District, Arizona||2013|33||1271||38||2||5||28||3||113||45||0||0||68||1120||663||663||0||4||0||3||450|
37|04|9500000US0405190|Mohave Valley Elementary District, Arizona||2013|1596||11634||1857||459||425||574||399||3905||3791||0||0||114||5872||4610||4610||0||823||0||113||326|
37|04|9500000US0405220|Mohawk Valley Elementary District, Arizona||2013|146||1723||229||108||0||65||56||696||635||0||0||61||798||643||643||0||71||0||27||57|
37|04|9500000US0405340|Morristown Elementary District, Arizona||2013|192||1651||215||26||36||65||88||703||697||0||0||6||733||618||618||0||59||0||32||24|
37|04|9500000US0405400|Murphy Elementary District, Arizona||2013|1994||18267||6350||2870||439||1412||1629||6772||6614||0||0||158||5145||3762||3762||0||669||0||79||635|
37|04|9500000US0405430|Naco Elementary District, Arizona||2013|377||3050||473||137||99||146||91||2110||1976||0||0||134||467||231||231||0||152||0||13||71|
37|04|9500000US0405640|Oracle Elementary District, Arizona||2013|717||6596||528||122||161||154||91||1744||1720||0||0||24||4324||4001||4001||0||0||0||185||138|
37|04|9500000US0405670|Osborn Elementary District, Arizona||2013|3046||29851||6182||1938||790||1600||1854||6619||6005||0||0||614||17050||16093||16093||0||508||11||228||210|
37|04|9500000US0405730|Owens-Whitney Elementary District, Arizona||2013|37||556||62||25||0||11||26||40||38||0||0||2||454||407||407||0||7||0||1||39|
37|04|9500000US0405760|Tonto Basin Elementary District, Arizona||2013|90||1273||191||37||16||42||96||309||307||0||0||2||773||715||715||0||29||0||22||7|
37|04|9500000US0405850|Palo Verde Elementary District, Arizona||2013|433||4158||581||226||34||198||123||2115||1834||0||0||281||1462||1057||1057||0||194||0||74||137|
37|04|9500000US0405880|Palominas Elementary District, Arizona||2013|1428||10356||1088||348||299||234||207||5291||5249||0||0||42||3977||3069||3069||0||398||4||151||355|
37|04|9500000US0406000|Patagonia Elementary District, Arizona||2013|88||1232||124||27||25||0||72||385||372||0||0||13||723||682||682||0||32||0||5||4|
37|04|9500000US0406150|Pearce Elementary District, Arizona||2013|96||1337||123||42||0||38||43||243||239||0||0||4||971||921||921||0||23||0||15||12|
37|04|9500000US0406210|Pendergast Elementary District, Arizona||2013|9715||71415||9787||2068||1809||4352||1558||37995||37459||0||0||536||23633||15531||15531||0||3963||1770||942||1427|
37|04|9500000US0406300|Phoenix Elementary District, Arizona||2013|7189||88970||16506||8060||1781||4538||2127||16700||15988||0||0||712||55764||44991||44991||0||1598||0||309||8866|
37|04|9500000US0406360|Picacho Elementary District, Arizona||2013|206||1429||234||24||39||120||51||398||390||0||0||8||797||746||746||0||27||0||9||15|
37|04|9500000US0406510|Pine Strawberry Elementary District, Arizona||2013|148||3039||270||89||40||39||102||112||106||0||0||6||2657||2493||2493||0||0||31||48||85|
37|04|9500000US0406630|Pomerene Elementary District, Arizona||2013|154||1056||94||44||13||27||10||536||532||0||0||4||426||346||346||0||53||0||21||6|
37|04|9500000US0406780|Quartzsite Elementary District, Arizona||2013|205||2085||234||65||0||161||8||218||193||0||0||25||1633||1525||1525||0||32||0||8||68|
37|04|9500000US0406900|Red Rock Elementary District, Arizona||2013|299||2152||111||0||0||111||0||791||791||0||0||0||1250||1155||1155||0||49||0||9||37|
37|04|9500000US0407020|Riverside Elementary District, Arizona||2013|832||14323||1982||313||480||630||559||548||181||0||0||367||11793||11444||11444||0||0||0||30||319|
37|04|9500000US0407080|Roosevelt Elementary District, Arizona||2013|9960||98975||23262||8470||1691||6923||6178||37938||37264||0||0||674||37775||29916||29916||0||3876||0||316||3667|
37|04|9500000US0407200|Sacaton Elementary District, Arizona||2013|458||9267||5871||2496||110||290||2975||2636||2618||0||0||18||760||0||0||0||187||0||12||561|
37|04|9500000US0407380|San Fernando Elementary District, Arizona||2013|24||253||62||0||0||0||62||136||136||0||0||0||55||46||46||0||4||0||1||4|
37|04|9500000US0407500|Santa Cruz Elementary District, Arizona||2013|257||2725||297||96||0||78||123||1454||1450||0||0||4||974||465||465||0||71||0||18||420|
37|04|9500000US0407680|Sentinel Elementary District, Arizona||2013|35||980||55||0||0||22||33||108||108||0||0||0||817||773||773||0||10||0||4||30|
37|04|9500000US0407770|Skull Valley Elementary District, Arizona||2013|53||514||28||0||0||3||25||123||121||0||0||2||363||323||323||0||34||0||5||1|
37|04|9500000US0407860|Solomon Elementary District, Arizona||2013|262||1820||211||73||8||76||54||765||761||0||0||4||844||541||541||0||31||0||245||27|
37|04|9500000US0407890|Somerton Elementary District, Arizona||2013|2729||20321||4738||1649||522||1576||991||11584||11204||0||0||380||3999||1624||1624||0||510||0||85||1780|
37|04|9500000US0407920|Sonoita Elementary District, Arizona||2013|105||2016||142||25||21||23||73||290||286||0||0||4||1584||1364||1364||0||6||141||37||36|
37|04|9500000US0408130|Stanfield Elementary District, Arizona||2013|603||5124||1237||324||132||327||454||1701||1668||0||0||33||2186||1077||1077||0||1073||3||20||13|
37|04|9500000US0408310|Tempe School District, Arizona||2013|11834||121393||13640||2290||2642||5020||3688||25735||24846||0||0||889||82018||72298||72298||0||2423||0||1412||5885|
37|04|9500000US0408430|Paloma School District, Arizona||2013|103||1695||167||65||13||52||37||345||202||0||0||143||1183||962||962||0||20||0||6||195|
37|04|9500000US0408460|Hillside Elementary District, Arizona||2013|29||357||18||0||0||0||18||68||66||0||0||2||271||244||244||0||26||0||1||0|
37|04|9500000US0408490|Tolleson Elementary District, Arizona||2013|2718||21397||4628||734||1080||1942||872||9170||8610||0||0||560||7599||5971||5971||0||1041||0||182||405|
37|04|9500000US0408550|Toltec Elementary District, Arizona||2013|1165||8112||982||215||207||448||112||3868||3822||0||0||46||3262||2111||2111||0||277||0||46||828|
37|04|9500000US0408640|Topock Elementary District, Arizona||2013|135||1179||273||91||56||78||48||274||268||0||0||6||632||537||537||0||44||0||0||51|
37|04|9500000US0408820|Union Elementary District, Arizona||2013|1771||11448||2342||352||383||1312||295||6577||6352||0||0||225||2529||1588||1588||0||669||0||52||220|
37|04|9500000US0408880|Valentine Elementary District, Arizona||2013|71||751||264||0||0||0||264||282||280||0||0||2||205||119||119||0||66||0||0||20|
37|04|9500000US0409060|Washington Elementary District, Arizona||2013|22895||201343||33578||7843||4906||13860||6969||81465||79745||0||0||1720||86300||51639||51639||0||11127||0||2096||21438|
37|04|9500000US0409090|Wellton Elementary District, Arizona||2013|314||2770||517||155||152||138||72||1499||1474||0||0||25||754||658||658||0||73||0||20||3|
37|04|9500000US0409120|Wenden Elementary District, Arizona||2013|104||1465||201||110||0||82||9||264||211||0||0||53||1000||898||898||0||41||0||27||34|
37|04|9500000US0409390|Wilson Elementary District, Arizona||2013|1189||13979||3242||797||269||824||1352||3005||2882||0||0||123||7732||6771||6771||0||334||0||140||487|
37|04|9500000US0409510|Yarnell Elementary District, Arizona||2013|54||772||42||0||0||20||22||150||148||0||0||2||580||487||487||0||54||6||13||20|
37|04|9500000US0409540|Young Elementary School District, Arizona||2013|56||1485||229||36||8||22||163||82||67||0||0||15||1174||1081||1081||0||0||0||17||76|
