GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|SCHENROLL|SCHENROLL_F|SCHSDTOTEXP|SCHSDTOTEXP_F|SCHSDEXPCS|SCHSDEXPCS_F|SCHEXPCSFSW|SCHEXPCSFSW_F|SCHEXPCSFEB|SCHEXPCSFEB_F|SCHEXPCSIT|SCHEXPCSIT_F|SCHEXPCSISW|SCHEXPCSISW_F|SCHEXPCSIEB|SCHEXPCSIEB_F|SCHEXPCSST|SCHEXPCSST_F|SCHEXPCSSPS|SCHEXPCSSPS_F|SCHEXPCSSIS|SCHEXPCSSIS_F|SCHEXPCSSGA|SCHEXPCSSGA_F|SCHEXPCSSSA|SCHEXPCSSSA_F|SCHSDEXPCSSON|SCHSDEXPCSSON_F|SCHEXPCSOF|SCHEXPCSOF_F|SCHEXPCO|SCHEXPCO_F|SCHSDEXPOPG|SCHSDEXPOPG_F|SCHEXPOID|SCHEXPOID_F
37|04|9500000US0400004|Clarkdale-Jerome Elementary District, Arizona||2013|455||3303||3167||1936||644||1712||1217||409||1272||351||85||110||82||644||183||114||2||20|
37|04|9500000US0400005|Salome Consolidated Elementary District, Arizona||2013|99||1077||1044||634||125||403||297||55||540||68||0||157||0||315||101||33||0||0|
37|04|9500000US0400022|Vernon Elementary District, Arizona||2013|170||1848||1844||868||233||1081||509||129||761||78||19||179||66||419||2||1||0||3|
37|04|9500000US0400480|Aguila Elementary District, Arizona||2013|216||1484||1424||664||174||975||434||96||331||0||0||58||82||191||118||20||0||40|
37|04|9500000US0400600|Alhambra Elementary District, Arizona||2013|14313||88500||87621||58342||14663||49840||37277||9020||29199||6587||3529||669||4094||14320||8582||872||0||7|
37|04|9500000US0400630|Alpine Elementary District, Arizona||2013|69||826||810||462||102||558||345||77||252||8||0||6||49||189||0||16||0||0|
37|04|9500000US0400750|Apache Elementary District, Arizona||2013|7||194||179||109||25||84||63||18||95||15||0||1||2||77||0||12||0||3|
37|04|9500000US0400840|Arlington Elementary District, Arizona||2013|258||2308||2264||1389||412||1171||884||252||932||75||31||140||84||602||161||41||0||3|
37|04|9500000US0400870|Ash Creek Elementary District, Arizona||2013|18||527||527||281||101||204||139||49||306||12||4||59||49||182||17||0||0||0|
37|04|9500000US0400960|Avondale Elementary District, Arizona||2013|5625||35418||34064||19510||6342||17412||12498||3884||13933||2287||2483||306||1909||6948||2719||1192||150||12|
37|04|9500000US0401050|Balsz Elementary District, Arizona||2013|2681||22430||17930||11017||2552||9577||7084||1911||6569||1256||816||479||919||3099||1784||4490||0||10|
37|04|9500000US0401080|Beaver Creek Elementary District, Arizona||2013|457||3161||3091||1540||455||1965||965||267||969||171||108||44||89||557||157||65||0||5|
37|04|9500000US0401230|Blue Elementary District, Arizona||2013|8||103||101||54||19||80||53||19||21||0||0||0||0||21||0||0||0||2|
37|04|9500000US0401260|Bonita Elementary District, Arizona||2013|89||1645||1617||1006||366||994||662||227||516||9||5||22||178||302||107||28||0||0|
37|04|9500000US0401290|Bouse Elementary District, Arizona||2013|35||606||604||333||125||225||165||52||330||13||9||37||36||235||49||1||0||1|
37|04|9500000US0401380|Buckeye Elementary District, Arizona||2013|4569||33043||30408||18062||5353||18008||12473||3391||10410||2084||1410||260||1719||4937||1990||1873||0||762|
37|04|9500000US0401500|Bullhead City School District, Arizona||2013|3228||19010||18691||11211||3601||10631||7830||2402||5853||379||566||431||1276||3201||2207||284||0||35|
37|04|9500000US0401650|Canon Elementary District, Arizona||2013|219||1866||1862||753||280||1167||475||151||553||38||6||75||35||399||142||0||0||4|
37|04|9500000US0401680|Cartwright Elementary District, Arizona||2013|18928||141586||130252||84619||22456||79682||57117||14843||39972||6929||11399||782||6454||14408||10598||10476||0||858|
37|04|9500000US0401710|Casa Grande Elementary District, Arizona||2013|7379||47448||46468||30024||7791||23986||18194||4532||19408||3137||2269||444||2775||10783||3074||371||0||609|
37|04|9500000US0402130|Cochise Elementary District, Arizona||2013|96||1483||1412||829||343||818||569||204||536||6||121||24||107||278||58||71||0||0|
37|04|9500000US0402190|Concho Elementary District, Arizona||2013|244||3118||3050||1275||413||1552||667||228||1387||94||126||171||109||887||111||68||0||0|
37|04|9500000US0402220|Congress Elementary District, Arizona||2013|152||1694||1672||913||216||1001||581||134||598||64||127||80||49||278||73||8||0||14|
37|04|9500000US0402250|Continental Elementary District, Arizona||2013|679||13859||4327||1983||532||3033||1500||391||1274||236||5||133||105||795||20||8656||194||682|
37|04|9500000US0402370|Cottonwood-Oak Creek Elementary District, Arizona||2013|2112||13387||13164||7398||2303||7086||5034||1556||4881||836||526||284||457||2778||1197||94||2||127|
37|04|9500000US0402400|Crane Elementary District, Arizona||2013|6249||35350||34560||21701||6737||17989||13291||3834||13802||1840||2756||453||1869||6884||2769||356||0||434|
37|04|9500000US0402430|Creighton Elementary District, Arizona||2013|6715||43976||40969||26084||7665||22061||16371||4528||14668||2682||1584||526||2145||7731||4240||2383||0||624|
37|04|9500000US0402460|Crown King Elementary District, Arizona||2013|3||65||65||35||12||31||21||9||34||0||0||11||0||23||0||0||0||0|
37|04|9500000US0402490|Double Adobe Elementary District, Arizona||2013|56||581||579||315||31||457||251||20||122||3||0||0||39||80||0||2||0||0|
37|04|9500000US0402760|Elfrida Elementary District, Arizona||2013|112||1196||1182||698||241||658||470||161||441||9||2||151||2||277||83||14||0||0|
37|04|9500000US0402790|Eloy Elementary District, Arizona||2013|1011||7493||6612||3630||1124||2843||2054||651||3006||414||264||170||379||1779||763||819||0||62|
37|04|9500000US0403060|Fowler Elementary District, Arizona||2013|4575||30812||29244||18114||5028||16638||12058||3460||10286||2100||1500||393||1618||4675||2320||985||0||583|
37|04|9500000US0403240|Gadsden Elementary District, Arizona||2013|5195||29248||28878||17642||5067||14704||10540||3052||11447||1881||1430||778||1674||5684||2727||342||0||28|
37|04|9500000US0403420|Glendale Elementary District, Arizona||2013|13496||89136||82200||51891||15860||47213||34032||10609||27997||4224||4008||458||4668||14639||6990||6561||0||375|
37|04|9500000US0403660|Hackberry School District, Arizona||2013|65||862||844||391||132||422||181||56||382||12||1||23||89||257||40||18||0||0|
37|04|9500000US0403900|Hyder Elementary District, Arizona||2013|102||1361||1359||593||249||672||341||160||577||12||0||16||139||410||110||0||0||2|
37|04|9500000US0403960|Isaac Elementary District, Arizona||2013|7101||60195||58206||32791||11650||36295||22679||7022||17887||3886||873||831||2190||10107||4024||1952||19||18|
37|04|9500000US0404170|Kirkland Elementary District, Arizona||2013|104||1059||1058||480||94||639||320||57||369||53||28||34||64||190||50||0||0||1|
37|04|9500000US0404230|Kyrene Elementary District, Arizona||2013|17786||127604||113229||72585||19481||67770||51301||13413||40447||9120||6255||775||4700||19597||5012||6878||0||7497|
37|04|9500000US0404290|Laveen Elementary District, Arizona||2013|5925||46282||33394||21258||5288||17452||12926||3207||13553||2386||2312||609||1943||6303||2389||12477||0||411|
37|04|9500000US0404320|Liberty Elementary District, Arizona||2013|3249||23568||20513||13790||3004||12011||9315||2007||7459||1346||1479||263||931||3440||1043||2642||0||413|
37|04|9500000US0404380|Litchfield Elementary District, Arizona||2013|10421||69733||60914||39313||11316||35230||25988||7353||22091||4209||2882||593||2451||11956||3593||7168||4||1647|
37|04|9500000US0404440|Littleton Elementary District, Arizona||2013|5309||35617||34002||21803||5040||19022||14889||3427||12016||2934||1841||413||1470||5358||2964||587||214||814|
37|04|9500000US0404500|Madison Elementary District, Arizona||2013|5910||48109||37859||24139||6696||19712||14251||4026||15984||2335||3095||746||1975||7833||2163||6750||0||3500|
37|04|9500000US0404530|Maine Consolidated School District, Arizona||2013|125||2103||2069||1239||402||1240||744||223||715||61||89||130||0||435||114||34||0||0|
37|04|9500000US0404770|Altar Valley Elementary District, Arizona||2013|946||7486||7369||2717||791||3937||1609||404||3050||370||87||242||226||2125||382||109||0||8|
37|04|9500000US0404860|McNary Elementary District, Arizona||2013|167||915||899||527||86||665||429||68||128||0||0||22||87||19||106||16||0||0|
37|04|9500000US0404920|McNeal Elementary District, Arizona||2013|56||889||868||436||105||516||227||53||310||21||5||111||24||149||42||21||0||0|
37|04|9500000US0405100|Mobile Elementary District, Arizona||2013|33||937||935||625||156||342||255||56||495||0||72||11||135||277||98||2||0||0|
37|04|9500000US0405190|Mohave Valley Elementary District, Arizona||2013|1596||10799||9521||6255||1759||4943||3770||1037||3956||420||812||313||518||1893||622||189||1||1088|
37|04|9500000US0405220|Mohawk Valley Elementary District, Arizona||2013|146||1277||1268||697||205||539||408||106||628||10||15||123||92||388||101||8||0||1|
37|04|9500000US0405340|Morristown Elementary District, Arizona||2013|192||1587||1580||768||207||995||488||132||495||56||34||28||28||349||90||3||0||4|
