GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|SCHENROLL|SCHENROLL_F|SCHSDTOTREV_P|SCHSDTOTREV_P_F|SCHSDREVFS_P|SCHSDREVFS_P_F|SCHSDREVFSDSTIT_P|SCHSDREVFSDSTIT_P_F|SCHSDREVSS_P|SCHSDREVSS_P_F|SCHSDREVSSGFA_P|SCHSDREVSSGFA_P_F|SCHSDREVLS_P|SCHSDREVLS_P_F|SCHSDREVLSTPGC_P|SCHSDREVLSTPGC_P_F|SCHSDREVLSNLG_P|SCHSDREVLSNLG_P_F|SCHSDREVLSC_P|SCHSDREVLSC_P_F
37|04|9500000US0400004|Clarkdale-Jerome Elementary District, Arizona||2013|455||100.0||12.8||1.4||28.9||28.4||58.3||36.6||9.3||3.3|
37|04|9500000US0400005|Salome Consolidated Elementary District, Arizona||2013|99||100.0||12.3||5.7||10.6||10.3||77.1||74.7||.6||.1|
37|04|9500000US0400022|Vernon Elementary District, Arizona||2013|170||100.0||15.7||3.8||48.2||35.7||36.1||31.6||3.4||.3|
37|04|9500000US0400480|Aguila Elementary District, Arizona||2013|216||100.0||18.0||6.8||38.6||33.3||43.4||19.2||3.0||.3|
37|04|9500000US0400600|Alhambra Elementary District, Arizona||2013|14313||100.0||19.4||6.0||51.5||50.7||29.1||19.1||7.1||.7|
37|04|9500000US0400630|Alpine Elementary District, Arizona||2013|69||100.0||21.9||0||33.4||31.9||44.7||40.5||1.4||.8|
37|04|9500000US0400750|Apache Elementary District, Arizona||2013|7||100.0||19.3||0||24.8||24.8||56.0||46.8||1.4||.9|
37|04|9500000US0400840|Arlington Elementary District, Arizona||2013|258||100.0||17.2||8.2||2.4||2.0||80.5||78.2||0||1.0|
37|04|9500000US0400870|Ash Creek Elementary District, Arizona||2013|18||100.0||9.6||7.9||9.5||8.6||80.8||75.9||2.5||.3|
37|04|9500000US0400960|Avondale Elementary District, Arizona||2013|5625||100.0||16.4||3.6||45.8||45.2||37.8||31.3||4.2||1.1|
37|04|9500000US0401050|Balsz Elementary District, Arizona||2013|2681||100.0||23.1||8.3||31.1||30.5||45.8||40.2||2.9||.5|
37|04|9500000US0401080|Beaver Creek Elementary District, Arizona||2013|457||100.0||11.3||2.7||36.4||34.9||52.3||38.0||10.0||1.7|
37|04|9500000US0401230|Blue Elementary District, Arizona||2013|8||100.0||44.3||0||9.2||9.2||46.6||13.0||9.2||1.5|
