GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|SCHENROLL|SCHENROLL_F|SCHEXPCS_PP|SCHEXPCS_PP_F|SCHEXPCSFSW_PP|SCHEXPCSFSW_PP_F|SCHEXPCSFEB_PP|SCHEXPCSFEB_PP_F|SCHEXPCSIT_PP|SCHEXPCSIT_PP_F|SCHEXPCSISW_PP|SCHEXPCSISW_PP_F|SCHEXPCSIEB_PP|SCHEXPCSIEB_PP_F|SCHEXPCSST_PP|SCHEXPCSST_PP_F|SCHEXPCSSPS_PP|SCHEXPCSSPS_PP_F|SCHEXPCSSIS_PP|SCHEXPCSSIS_PP_F|SCHEXPCSSGA_PP|SCHEXPCSSGA_PP_F|SCHEXPCSSSA_PP|SCHEXPCSSSA_PP_F
37|04|9500000US0400004|Clarkdale-Jerome Elementary District, Arizona||2013|455||6960||4255||1415||3763||2675||899||2796||771||187||242||180|
37|04|9500000US0400005|Salome Consolidated Elementary District, Arizona||2013|99||10232||6404||1263||4071||3000||556||5455||687||0||1586||0|
37|04|9500000US0400022|Vernon Elementary District, Arizona||2013|170||10847||5106||1371||6359||2994||759||4476||459||112||1053||388|
37|04|9500000US0400480|Aguila Elementary District, Arizona||2013|216||6593||3074||806||4514||2009||444||1532||0||0||269||380|
37|04|9500000US0400600|Alhambra Elementary District, Arizona||2013|14313||5999||4076||1024||3360||2604||630||2040||460||247||47||286|
37|04|9500000US0400630|Alpine Elementary District, Arizona||2013|69||11739||6696||1478||8087||5000||1116||3652||116||0||87||710|
37|04|9500000US0400750|Apache Elementary District, Arizona||2013|7||25571||15571||3571||12000||9000||2571||13571||2143||0||143||286|
37|04|9500000US0400840|Arlington Elementary District, Arizona||2013|258||8775||5384||1597||4539||3426||977||3612||291||120||543||326|
37|04|9500000US0400870|Ash Creek Elementary District, Arizona||2013|18||29278||15611||5611||11333||7722||2722||17000||667||222||3278||2722|
37|04|9500000US0400960|Avondale Elementary District, Arizona||2013|5625||6056||3468||1127||3095||2222||690||2477||407||441||54||339|
37|04|9500000US0401050|Balsz Elementary District, Arizona||2013|2681||6670||4109||952||3555||2642||713||2450||468||304||179||343|
37|04|9500000US0401080|Beaver Creek Elementary District, Arizona||2013|457||6764||3370||996||4300||2112||584||2120||374||236||96||195|
37|04|9500000US0401230|Blue Elementary District, Arizona||2013|8||12625||6750||2375||10000||6625||2375||2625||0||0||0||0|
37|04|9500000US0401260|Bonita Elementary District, Arizona||2013|89||18169||11303||4112||11169||7438||2551||5798||101||56||247||2000|
37|04|9500000US0401290|Bouse Elementary District, Arizona||2013|35||17257||9514||3571||6429||4714||1486||9429||371||257||1057||1029|
37|04|9500000US0401380|Buckeye Elementary District, Arizona||2013|4569||6655||3953||1172||3941||2730||742||2278||456||309||57||376|
37|04|9500000US0401500|Bullhead City School District, Arizona||2013|3228||5763||3473||1116||3293||2426||744||1813||117||175||134||395|
37|04|9500000US0401650|Canon Elementary District, Arizona||2013|219||8493||3438||1279||5329||2169||689||2525||174||27||342||160|
37|04|9500000US0401680|Cartwright Elementary District, Arizona||2013|18928||6839||4471||1186||4167||3018||784||2112||366||602||41||341|
37|04|9500000US0401710|Casa Grande Elementary District, Arizona||2013|7379||6246||4069||1056||3200||2466||614||2630||425||307||60||376|
37|04|9500000US0402130|Cochise Elementary District, Arizona||2013|96||14677||8635||3573||8521||5927||2125||5583||63||1260||250||1115|
